50     3.44124e-15
100    2.38848e-15
150    1.91571e-15
200    1.63091e-15
250    1.435e-15
300    1.28953e-15
350    1.17602e-15
400    1.08429e-15
450    1.00822e-15
500    9.43886e-16
550    8.88604e-16
600    1.02703e-15
650    1.5529e-14
700    2.35101e-13
750    2.5177e-12
800    2.02055e-11
850    1.27446e-10
900    6.56558e-10
950    2.84979e-09
1000   1.06882e-08
1050   3.53599e-08
1100   1.04957e-07
1150   2.83486e-07
1200   7.05011e-07
1250   1.63049e-06
1300   3.53635e-06
1350   7.24487e-06
1400   1.41065e-05
1450   2.62443e-05
1500   4.68677e-05
1550   8.06634e-05
1600   0.000134265
1650   0.000216803
1700   0.000340526
1750   0.000521484
1800   0.000780268
1850   0.00114276
1900   0.00164085
1950   0.00231319
2000   0.00320566
2050   0.00437187
2100   0.00587327
2150   0.00777902
2200   0.0101655
2250   0.0131154
2300   0.0167166
2350   0.0210606
2400   0.0262412
2450   0.032353
2500   0.0394908
2550   0.04775
2600   0.0572275
2650   0.0680243
2700   0.0802478
2750   0.0940139
2800   0.109448
2850   0.126682
2900   0.145853
2950   0.167092
3000   0.190518
3050   0.216232
3100   0.244301
3150   0.27476
3200   0.307597
3250   0.342758
3300   0.380138
3350   0.419583
3400   0.460897
3450   0.503838
3500   0.548133
3550   0.593479
3600   0.639555
3650   0.686027
3700   0.732561
3750   0.778824
3800   0.824493
3850   0.869258
3900   0.912826
3950   0.954929
4000   0.995325
4050   1.03381
4100   1.07023
4150   1.10449
4200   1.13658
4250   1.16657
4300   1.19463
4350   1.22105
4400   1.24622
4450   1.27063
4500   1.29484
4550   1.3195
4600   1.34526
4650   1.37279
4700   1.40274
4750   1.4357
4800   1.47223
4850   1.5128
4900   1.55783
4950   1.60767
5000   1.66261
5050   1.72291
5100   1.78879
5150   1.86046
5200   1.93809
5250   2.0219
5300   2.11208
5350   2.20885
5400   2.31249
5450   2.4233
5500   2.54162
5550   2.6679
5600   2.80264
5650   2.94643
5700   3.10001
5750   3.26419
5800   3.43997
5850   3.62845
5900   3.83094
5950   4.04888
6000   4.2839
6050   4.53779
6100   4.81253
6150   5.11024
6200   5.43322
6250   5.78389
6300   6.16483
6350   6.57875
6400   7.02848
6450   7.51695
6500   8.04724
6550   8.62254
6600   9.24614
6650   9.92146
6700   10.6521
6750   11.4416
6800   12.2939
6850   13.213
6900   14.2028
6950   15.2677
7000   16.412
7050   17.6402
7100   18.9571
7150   20.3675
7200   21.8763
7250   23.4888
7300   25.2103
7350   27.0461
7400   29.002
7450   31.0837
7500   33.2972
7550   35.6484
7600   38.1436
7650   40.7891
7700   43.5914
7750   46.5572
7800   49.6932
7850   53.0062
7900   56.5032
7950   60.1912
8000   64.0775
8050   68.1694
8100   72.4741
8150   76.9991
8200   81.7519
8250   86.7401
8300   91.9712
8350   97.453
8400   103.193
8450   109.199
8500   115.479
8550   122.04
8600   128.891
8650   136.038
8700   143.489
8750   151.253
8800   159.337
8850   167.747
8900   176.492
8950   185.579
9000   195.015
9050   204.807
9100   214.963
9150   225.489
9200   236.391
9250   247.677
9300   259.353
9350   271.425
9400   283.899
9450   296.782
9500   310.078
9550   323.793
9600   337.933
9650   352.503
9700   367.507
9750   382.95
9800   398.836
9850   415.171
9900   431.956
9950   449.197
10000  466.896
10050  485.057
10100  503.682
10150  522.774
10200  542.335
10250  562.367
10300  582.873
10350  603.853
10400  625.31
10450  647.243
10500  669.653
10550  692.542
10600  715.909
10650  739.755
10700  764.078
10750  788.878
10800  814.155
10850  839.908
10900  866.135
10950  892.834
11000  920.005
11050  947.645
11100  975.752
11150  1004.32
11200  1033.36
11250  1062.85
11300  1092.8
11350  1123.2
11400  1154.05
11450  1185.35
11500  1217.1
11550  1249.28
11600  1281.9
11650  1314.94
11700  1348.42
11750  1382.32
11800  1416.64
11850  1451.37
11900  1486.51
11950  1522.06
12000  1558.01
12050  1594.35
12100  1631.09
12150  1668.21
12200  1705.71
12250  1743.59
12300  1781.84
12350  1820.45
12400  1859.43
12450  1898.76
12500  1938.44
12550  1978.47
12600  2018.84
12650  2059.54
12700  2100.57
12750  2141.93
12800  2183.61
12850  2225.61
12900  2267.91
12950  2310.52
13000  2353.42
13050  2396.63
13100  2440.12
13150  2483.9
13200  2527.95
13250  2572.29
13300  2616.89
13350  2661.76
13400  2706.89
13450  2752.27
13500  2797.91
13550  2843.8
13600  2889.92
13650  2936.29
13700  2982.89
13750  3029.72
13800  3076.78
13850  3124.06
13900  3171.56
13950  3219.27
14000  3267.19
14050  3315.31
14100  3363.64
14150  3412.16
14200  3460.88
14250  3509.8
14300  3558.89
14350  3608.18
14400  3657.64
14450  3707.28
14500  3757.09
14550  3807.08
14600  3857.23
14650  3907.55
14700  3958.03
14750  4008.66
14800  4059.45
14850  4110.4
14900  4161.49
14950  4212.73
15000  4264.12
15050  4315.65
15100  4367.31
15150  4419.12
15200  4471.05
15250  4523.12
15300  4575.32
15350  4627.65
15400  4680.1
15450  4732.67
15500  4785.37
15550  4838.18
15600  4891.11
15650  4944.15
15700  4997.31
15750  5050.57
15800  5103.95
15850  5157.43
15900  5211.02
15950  5264.71
16000  5318.5
16050  5372.39
16100  5426.38
16150  5480.47
16200  5534.65
16250  5588.92
16300  5643.29
16350  5697.75
16400  5752.29
16450  5806.93
16500  5861.65
16550  5916.45
16600  5971.34
16650  6026.31
16700  6081.36
16750  6136.5
16800  6191.71
16850  6247
16900  6302.36
16950  6357.8
17000  6413.31
17050  6468.9
17100  6524.56
17150  6580.29
17200  6636.09
17250  6691.96
